,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
9794,VA,,,,FY22: NRM Tier 2 (PROJ: 675-22-808) DB Police Upgrades at Viera and Lake Baldwin ,," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
9819,VA,,,,"FY22: Wage Determination MOD Janitorial
Services William V. Chappell Jr.-675C20094",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Sole Source ,
9820,VA,,,,GP700 4G LTE Police Radios,,"$3,000.01 to $25,000",,Small Business ,Q2 ,Open Market ,
9832,VA,,,,"LAB: Chemistry Laboratory Automated System Short Term 1 YR + 6 MO 
 ",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q3 ,Federal Supply Schedule ,
9874,VA,,,,MOD: RStat! Teton Data System - Option year 1 ,,"$3,000.01 to $25,000",,Small Business ,Q2 ,Other Government Contracts ,
9885,VA,,,,Online Database: Continuing Certification Program,,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Sole Source ,
9948,VA,,,,(Cloned) PN: 534-21-401 Education Grant Rooms Phase 2 (VA-21-00095856) (VA-21-00099732),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Indefinite Delivery Indefinite Quantity ,
10044,VA,,,,Copy of PROSTHETICS-1029131-PRE-AUTH-ALLODERM  (VA-21-00046362),,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Open Market ,
10050,VA,,,,Evaluate Life Safety Code Compliance/Update Drawings- emailed SL to provide technical factors along with attachment 4; 12/10 deadline at noon,," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
10180,VA,,,,"Emergency/Commodities/544-22-1-126-0048/Genesys HTA Controller System, Hysteroscopic Thermal Ablation Device/ (VA-22-00031562)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
10287,VA,,,,Commodities/Police Ammunition/Option Year 2 of 4/36C24720P0586: Chaz Bowling/544-1A0007 (VA-22-00026842),,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
10408,VA,,,,36C261-22-AP-2643 | 640-22-2-134-0108 OY1 050122 - 043023 Indiana University Research Long-Term Opioid Therapy 36C26121C0045 (Haunani) OY1,,"$25,000.01 to $150,000",,Not Set-Aside ,Q3 ,Sole Source ,
10431,VA,,,,612-22-1-5104-0003 OY4 Alameda Police Patrols 36C26118C0019 (VA-22-00005938),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Open Market ,
10451,VA,,,,640-22-2-500-0132 Hermes Nuc Med PACS Service Contract ,," $150,000.01 to $5,000,000",,Not Set-Aside ,Q2 ,Open Market ,
10514,VA,,,,MOD.  640-21-3-5281-0151 Extension of Emergency transformer lease at Livermore VA (VA-22-00025051) Wm. Hall,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Indefinite Delivery Indefinite Quantity Sole Source ,
10606,VA,,,,"Affiliate UW LT Dermatology Physician Services 
Funding Second Year POP 3/1/2022-2/28/2023 IFCAP 663C25185
36C26021D0006      663-22-2-048-0018 ",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q2 ,Enhanced Sharing Other Government Contracts Sole Source ,
10647,VA,,,,"SSA UW Affiliate Cardiothoracic Physician Assistant Services
Period of Performance 02/01/2022-01/31/2023 Base +4 ",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Enhanced Sharing Other Government Contracts Sole Source ,
10677,VA,,,,"556-22-002 Pharmacy HVAC 
USP797 Compliance 
",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q1 ,Indefinite Delivery Indefinite Quantity ,
10855,VA,,,,"1197|1800|12/15|TS|36F79718D0437| 36C25522K0098 |PWC|PERMOBIL|STL| 657-2P7893 | $23,916.48",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10864,VA,,,,"1794|1800|2/10|TS|36F79718D0437|36C25522K0216|PWC|PERMOBIL|STL|657-2PC100| $18,488.34",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
10865,VA,,,,"1814|1800|2/14|TS|36F79718D0437|36C25522K0222|PWC|PERMOBIL|STL|657-2PC536| $14,750.75",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
10907,VA,,,,36C255-22-AP-0818 1081-3182841-PERMOBIL-EDD 11/19/21 (VA-22-00021261),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10947,VA,,,,"36F79718D0437, 36C25522K0030, PWC, PERMOBIL, WIC, 5892R1354
36C255-22-AP-0116 1081-3174693-PERMOBIL POWER MOBILITY EDD 10-29-21 (VA-22-00014977)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10948,VA,,,,"36F79718D0437, 36C25522K0035, PWC, PERMOBIL, KC, 5892P2705
36C255-22-AP-0591 - 589 PERMOBIL IEN668 3160965 H46 (VA-22-00019316)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,General Service Administration Contract ,
10949,VA,,,,"36F79718D0437, 36C25522K0044, PWC, PERMOBIL, STL, 6572P4299
36C255-22-AP-0894 657A0 - 2266538 -  F5 Corpus PWC (VA-22-00022077) 11/15/2021",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10950,VA,,,,"36F79718D0437, 36C25522K0045, PWC, PERMOBIL, STL, 6572P4328
36C255-22-AP-0896 657A0 - 2266833 - F5 CORPUS STANDUP (VA-22-00022079) 11/15/2021",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10951,VA,,,,"36F79718D0437, 36C25522K0051, PWC, PERMOBIL, MAR, 6572R1723
36C255-22-AP-0931 - IEN2267116 - Permobil - Marion VAMC (VA-22-00022532)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10952,VA,,,,"36F79718D0437, 36C25522K0053, PWC, PERMOBIL, MAR, 6572R1724
36C255-22-AP-0932 - IEN2267126 - Permobil - Marion VAMC (VA-22-00022533)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10953,VA,,,,"36F79718D0437, 36C25522K0054, PWC, PERMOBIL, STL, 6572P4680

36C255-22-AP-0936 657A0 - 2267350 - SCI M3 PWC (VA-22-00022798) 11/17/2021",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
10954,VA,,,,"36F79718D0437, 36C25522K0207, PWC, PERMOBIL, STL, 6572PB177
36C255-22-AP-1639 - 657A0 - 2289485 - M3 CORPUS PWC (VA-22-00041353)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
10955,VA,,,,"36F79718D0437, 36C25522K0243, PWC, PERMOBIL, STL, 6572PD603
657AO - 2297522 - SCI, F5 Corpus PWC (VA-22-00048826)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
10956,VA,,,,"36F79718D0437, 36C25522K0270, PWC, PERMOBIL, STL, 6572PG365
657A0 - 2306770 - SCI, M5 CORPUS PWC (VA-22-00056919)
36C255-22-AP-2345",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
11042,VA,,,,Closeout Option Year IIII DataSavers (VA-22-00032931),,"$1 to $2,500",,,Q2 ,,
11375,VA,,,,667-22-1-059-0009 - Option Yr. Data Innovations (VA-22-00002738) Attn: Veronica Maskell,,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
11389,VA,,,,"FY22 Opt 2 FOUR POINTS Data Interface (VA-22-00005512)
$21,617.15   541513 H170",,"$3,000.01 to $25,000",,,Q1 ,,
11464,VA,,,, RCS IHT Data  (VA-22-00002516) (VA-21-00101644),,,,Service Disabled Veteran Owned SB ,Q1 ,Other Government Contracts ,
11479,VA,,,,Attn: Riley Bender  22-NT0011 ROSE TO 16 Datacenter Support (VA-22-00001126),," $150,000.01 to $5,000,000",,,Q1 ,,
11495,VA,,,,FedDataCheck Mod to Exercise Option YR 2 (VA-22-00023003),," $150,000.01 to $5,000,000",,,Q1 ,,
11536,VA,,,, BPA Data/Cable Drop Contract (VA-20-00052438) (VA-20-00099558),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q4 ,General Service Administration Contract ,
11590,VA,,,,HCHT Geriatrics/Long-Term Care Bed Replacement (VA-22-00030190),," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Federal Supply Schedule ,
11604,VA,,,,MIRECC UM Data Analysis Contract (VA-22-00001261),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Open Market ,
11618,VA,,,,Perry Point Cabling and Data Contract (VA-22-00038045),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Blanket Purchase Agreement ,
11638,VA,,,,Unlimited Cellular Data Plan - POP: 3/01/2022-2/28/2023,,"$3,000.01 to $25,000",,,Q2 ,General Service Administration Contract ,
11673,VA,,,,540 CLK HOME O2 SHORT TERM CONTRACT APRIL 1 2022 - SEPT 30 2022 (VA-22-00050407),," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q3 ,Indefinite Delivery Indefinite Quantity ,
11724,VA,,,,Data Services for Research Project (Spanakis) (VA-22-00008436),,"$3,000.01 to $25,000",,,Q1 ,,
11737,VA,,,,HCHT-Long Term Care Beds (VA-22-00034268),," $150,000.01 to $5,000,000",,Small Business ,Q3 ,Indefinite Delivery Indefinite Quantity ,
11788,VA,,,,518-21-314 Police Dispatch,," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Indefinite Delivery Indefinite Quantity ,
11809,VA,,,, PROS 523 (Gail) DOS 10/8/21 D0633 PERMOBIL WHEELCHAIR (VA-22-00012029)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
11837,VA,,,,"650-22-2-7821-0030:  UV Booth Dermatology                        GSA,  VOSB (VA-22-00030038)",,"$25,000.01 to $150,000",,,Q3 ,,
11840,VA,,,,Data Innovations Service & Maintenance 1 yr VISN 1 (VA-22-00003801),,"$25,000.01 to $150,000",,Small Business ,Q1 ,Sole Source ,
11958,VA,,,,"Fire Alarm Service Contract  
Period of Performance: October 21, 2021 to October 20, 2022",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,General Service Administration Contract Sole Source ,
12044,VA,,,,"506- PERMOBIL#10566 - M300 - CUSTOM POWER CHAIR - QP000256229
PT IEN# 261645 - IEN# 1090018 (VA-22-00047602)",,"$3,000.01 to $25,000",,HubZone Small Business Small Disadvantaged Business Women Owned SB ,Q2 ,Federal Supply Schedule ,
12045,VA,,,,"515-PROSTHETICS-POWER MOBILITY- IEN 668: 712864, PAT IEN: 96889-PERMOBIL, INC. (VA-22-00048865)",,"$3,000.01 to $25,000",,HubZone Small Business Small Disadvantaged Business Women Owned SB ,Q2 ,Federal Supply Schedule ,
12091,VA,,,,"DECREASE/TERMINATION MOD
PO #636D23010 (-$32,000.00) POP: 10/01/2021 - 09/30/2022",,,,Not Set-Aside ,Q1 ,Sole Source ,
12101,VA,,,,"FY22 Rate MOD/Wage Determination
Midlands Living Center 36C26321D0061 ",,,,Not Set-Aside ,Q2 ,Indefinite Delivery Indefinite Quantity Open Market ,
12115,VA,,,,"Mod 36C26321C0008 
Dermatology UNMC-P - NWI
",,,,,Q1 ,,
12125,VA,,,,"OPTN YR1 UNMC Dermatology 
11/1/2021 - 10/31/2022",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Enhanced Sharing Sole Source ,
12127,VA,,,,"OY1 - DATA ANALYSIS - FUNDING MOD 
PO#636D23010 POP: 10/01/2021-09/30/2022",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
12168,VA,,,,"Termination for Convenience
618C20118 - Base Year $103,550.00",,,,Small Business ,Q2 ,Indefinite Delivery Indefinite Quantity ,
12179,VA,,,,"UNMC Dermatology 
Need Date: 1 NOV 2022",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Sole Source ,
12306,VA,,,,"586-22-1-432-0001 DataSavers option year 1 
36C25621P0052 (VA-22-00000952)",,"$3,000.01 to $25,000",,Small Business ,Q1 ,General Service Administration Contract Open Market ,
12421,VA,,,,586-22-1-042-0019 Opt Yr 3 (36C25619P0040) Dermatopathology Associates,,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,General Service Administration Contract ,
12489,VA,,,,"598-22-2-784-0051, FRESHDATE3
DUAL PRINT HEAD DIRECT THERMAL PRINTER",,"$3,000.01 to $25,000",,Veteran Owned SB ,Q2 ,Open Market Sole Source ,
12523,VA,,,,"635 - OKLAHOMA CITY VAMC, DSS Databridge OY4 36C25618F0259 renewal Contract NNG15SD34B (VA-22-00002448)",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,SEWP ,
12599,VA,,,,"PROSTHETICS  PERMOBIL M3 MPO  POWER WHEELCHAIR
586 (VA-22-00048213)
586R29619",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule Other Government Contracts ,
12943,VA,,,,"PN: 636-21-902, AE Establish COVID-19 Compliance HVAC rooms (OM)
36C26319D0060 - 36C26321N0425 - Mod P00001    ",,,,Service Disabled Veteran Owned SB ,Q1 ,Indefinite Delivery Indefinite Quantity ,
13063,VA,,,,593-22-2-508-0021   Annual Air Permit 36C26121P0450 (VA-22-00038382) Wayne,,,,Small Business ,Q2 ,Sole Source ,
13102,VA,,,,"640-22-1-544-0002 exercise OY1 12012021-11302022 CensiTrac License for MTZ, FRE, and LAS 36C26121P0209 (Maxwell). VISTA Pending Accountable Officer Sig.",,"$25,000.01 to $150,000",,Veteran Owned SB ,Q1 ,General Service Administration Contract ,
13159,VA,,,,662-16-2-296-0007 Arxium Optifill Conveyor Replacement Termination (VA-22-00015702),,,,,Q1 ,,
13212,VA,,,,MOD to Add Long Term Care Line Item 36C26121D0063 36C26121N0566 Whitney Oaks 04152022 Start Date,,,,Not Set-Aside ,Q3 ,Indefinite Delivery Indefinite Quantity ,
13223,VA,,,,MOD to Period of Performance Lynx Duress Alarm Project (654-21-4-5043-0161 (VA-22-00038104),,,,Service Disabled Veteran Owned SB ,Q2 ,SEWP ,
13224,VA,,,,MOD to Period of Performance Lynx Duress Alarm Project (654-21-4-5043-0161) (VA-22-00030980),,,,,Q2 ,,
13230,VA,,,,"No-Cost Mod - flooring - ending date 36C26121P1720 CO:RC QUARTERMASTER Torres, Victoria  ",,,,,Q2 ,,
13268,VA,,,,PROS-03172022-477130-RE Permobile,,"$3,000.01 to $25,000",,,Q3 ,,
13269,VA,,,,PROS-03242022-1316306-PA-M3 CORPUS-POWERWHEELCHAIR PERMOBIL,,"$3,000.01 to $25,000",,,Q3 ,,
13270,VA,,,,PROS-03252022-1316722-PA-PERMOBIL ,,"$3,000.01 to $25,000",,,Q3 ,,
13271,VA,,,,PROS-03252022-1317220-PA-PERMOBIL ,,"$3,000.01 to $25,000",,,Q3 ,,
13526,VA,,,,612-22-1-476-0010 Exercise Option 2 of Contract NNG15SD34B Order 36C10B20F0003 DSS DataBridge (VA-22-00001454),," $150,000.01 to $5,000,000",,,Q1 ,,
13527,VA,,,,A-123A Third Re-compete to Fix Errors (VA-22-00006378),," $150,000.01 to $5,000,000",,Small Disadvantaged Business 8(a) Participant ,Q1 ,Open Market ,
13529,VA,,,,AHBPCE Data Analytics GWAC - Alliant 2 (VA-22-00049006),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q3 ,Indefinite Delivery Indefinite Quantity ,
13536,VA,,,,Compliance Readiness Directorate Audit Support (VA-22-00050301),," $150,000.01 to $5,000,000",,,Q3 ,,
13538,VA,,,,CORP:  Cloud Hosting and Data Estate -Microsoft Enterprise Agreement (MSEA) Optional Task (VA-22-00024686),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,General Service Administration Contract ,
13546,VA,,,,DSS Databridge Software and Support Option Period Year 1 VISN8 (VA-22-00043796),," $150,000.01 to $5,000,000",,,Q2 ,,
13548,VA,,,,"Environment of Care (EOC) Assessment and Compliance, Option Period 1 (VA-22-00027213)",,"$25,000.01 to $150,000",,,Q2 ,,
13553,VA,,,,FSC Data Analytics Support Services (VA-21-00030345) New Task Order,,"Greater than $5,000,000",,Not Set-Aside ,Q1 ,T4NG ,
13567,VA,,,,Low Earth Orbit (LEO) Satellite High Speed Internet Data Services (VA-22-00014650),,"Greater than $5,000,000",,Not Set-Aside ,Q2 ,Sole Source ,
13571,VA,,,,Mobile Device Services (External Commercial Paging) - Central Vermont (CVC)  36C10B19C0005 Option 3 of 4   (VA-22-00006707),,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
13586,VA,,,,NLEC NG - Task Order 3  DATA (VA-21-00027767),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Other Government Contracts ,
13593,VA,,,,Section 508 Accessibility Compliance Scanning and Service (VA-22-00003548) - Need Date: 11/7/2021,,"Greater than $5,000,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
13661,VA,,,,"Membership/participation  National Database of Nursing Quality Indictors (NDNQI®) 
Base Year + 4 Option YRS. POP 01/01/2021 - 12-31-2026 ",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
13682,VA,,,,VACCINE MANDATE - THERMO ELECTRON,,,,Not Set-Aside ,Q1 ,Open Market ,
13766,VA,,,,PROS-R-SYR-731188-11922911-DME SERV-M5 PERM PWC(VA-22-00013800),,"$3,000.01 to $25,000",,Small Business ,Q1 ,Federal Supply Schedule ,
13779,VA,,,,"Title V Operating Permit Compliance at VANJHCS Lyons Campus Option Year 1 (VA-22-00042164)
AP FOR OPTION YEAR 1",,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market Sole Source ,
13876,VA,,,,PROS-R-CDGA-10841-12190191-DME SERV-CUSTOM PERM F3 PWC (VA-22-00050572),,"$3,000.01 to $25,000",,Small Business ,Q2 ,Federal Supply Schedule ,
13964,VA,,,,Decrease and Close Abbott FY 21 Account (VA-22-00030889),,,,Not Set-Aside ,Q1 ,Blanket Purchase Agreement Federal Supply Schedule ,
13965,VA,,,,Decrease and Close Biofire FY 21 Account (VA-22-00031116),,,,Not Set-Aside ,Q1 ,Blanket Purchase Agreement Federal Supply Schedule ,
13971,VA,,,,Increase Siemens Account (VA-22-00034070),,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
14024,VA,,,,659-20-200: Police Radio Upgrade (VA-21-00103084),," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
14025,VA,,,,659-20-200: Police Radios - No Cost Extension  (VA-22-00046347),,,,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
14059,VA,,,,541-CLE GEO-MED LLC ALLODERM...B3706/2190140 (VA-22-00051203),,"$25,000.01 to $150,000",,Small Business ,Q2 ,Sole Source ,
14070,VA,,,,541-W8658- PERMOBIL-POWER W/C (VA-22-00029599),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
14071,VA,,,,E4463-PERMOBIL-PWC (VA-22-00037179),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
14089,VA,,,,121W541 PERMOBIL POWER WHEELCHAIR - 2199088-C9284 (VA-22-00058727),,"$3,000.01 to $25,000",,,Q3 ,,
14112,VA,,,,Budget Preparation and Execution Services (CINCINNATI) | New/Base | Start Date: 1/15/22,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
14131,VA,,,,"License Renewal - Police (Ohio) | OY4, POP: 10/1/21 - 9/30/22 ",,"$3,000.01 to $25,000",,,Q1 ,,
14199,VA,,,,552-22-1-051-0007 Four Points(Data Innovations) (VA-22-00011974),,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source SEWP ,
14210,VA,,,,Card Access and CCTV System (Police) (VA-22-00027713),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Open Market ,
14236,VA,,,,Permatect Tile Floor Restoration 541-22-1-2406-0009 (VA-22-00005301),," $150,000.01 to $5,000,000",,Veteran Owned SB ,Q1 ,Open Market ,
14305,VA,,,,Canine and Handler Training - Detroit VA Police,,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
14316,VA,,,,Eastgate/Clermont CBOC (New/Replacing) (VA-20-00053387),," $150,000.01 to $5,000,000",,Not Set-Aside ,Q4 ,Open Market ,
14319,VA,,,,EMS Data Software | New/Base+4OYs | Need Date: 4/30/22,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Sole Source ,
14322,VA,,,,Equipment - Bronchial Thermoplasty Controller - Ann Arbor ,,"$25,000.01 to $150,000",,Not Set-Aside ,Q3 ,Open Market Sole Source ,
14342,VA,,,,"NIHCS - Compliance Testing 
",,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market Sole Source ,
14472,VA,,,,496-22-1-287-0001 BSL Data Management Document Storage System-interface CIS and ARK,,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
14478,VA,,,,"FY22 12/1: 496-22-1-287-0014 Data Innovations DI Software Maintenance
Due 12/1/21",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
14480,VA,,,,"HIGH RISK: 663-22-1-458-0001 BSL - Copiers: Medical Media Copier Maintenance
GS-03F-0085U / VA260-17-F-1791      Angela Williams",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule General Service Administration Contract ,
14484,VA,,,,"NO RISK: FY22 648-22-1-4126-0002 MOD OY BSL Copiers Konica Minolta Service & Maintenance
NNG15SD19B/36C26020F0022/648C05109              Angela Williams",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
14533,VA,,,,FY22: Data Analysis  for Research Protocol ,,"$25,000.01 to $150,000",,Small Business ,Q2 ,Sole Source ,
14568,VA,,,,"FY22: MOD IPTV and Data Service 
Opt 3",,"$25,000.01 to $150,000",,Small Business ,Q3 ,Open Market ,
14588,VA,,,,FY22: NRM-MOD (PROJ: 672-18-103) DB - Provide Life Safety Codes Compliance Main Building Hospital Corridors. ,,,,Service Disabled Veteran Owned SB Not Set-Aside ,Q1 ,Open Market ,
14604,VA,,,,"FY22: Prevention & Control of Termites 
Activity",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
14613,VA,,,,"FY22: STATION TIER 1 (PROJ: 672-21-801) 
AE - Install Audio-Visual Equipment at Auditorium. Open Market",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
14739,VA,,,,508-22-3-2043-0057 OPTION YEAR 2 DATA INNOVATION SUPPORT SERVICES NNG15SD22B 36C24720F0407 (VA-22-00049322),,"$25,000.01 to $150,000",,Veteran Owned SB ,Q3 ,Sole Source ,
14759,VA,,,,521-22-2-4113-0030 Grant Group Essentials of Human Resources Training (VA-22-00051921),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,General Service Administration Contract ,
14832,VA,,,,"VACCINE MANDATE, 557-16-107 | Correct Safety, Compliance and FCA Deficiencies in Building 2 Kitchen, Canteen, and Food Service",,,,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
14870,VA,,,,"Fire Alarm System Maintenance BPA Task Order - IC
Period of Performance: 11-01-2021 to 10-31-2022
636C29003",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Blanket Purchase Agreement ,
14874,VA,,,,"Grand Island Lodging Services IDIQ Task Order - NWI
Period of Performance: 03-01-2022 to 08-31-2022
IFCAP PO 636C24011",,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q2 ,Indefinite Delivery Indefinite Quantity Open Market ,
14876,VA,,,,"Hologic Laboratory Analyzers Service Contract - VISN
Base Period of Performance:  12/23/2021 to 11/30/2022",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
14883,VA,,,,"Lodging Services IDIQ - NWI
Period of Performance: 03-01-2022 to 02-28-2027
",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Indefinite Delivery Indefinite Quantity Open Market ,
14900,VA,,,,"Omaha Lodging Services IDIQ Task Order - NWI
Period of Performance: 03-01-2022 to 08-31-2022
IFCAP PO 636C21109
",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Indefinite Delivery Indefinite Quantity Open Market ,
14903,VA,,,,"Rad Source Equipment Maintenance Service - NWI
Period of Performance: 12-01-2021 to 11-30-2022 + 4",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
14910,VA,,,,"Snow and Ice Removal Task Order - NWI
Period of Performance: 12-01-2021 to 11-30-2022",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q1 ,Blanket Purchase Agreement Open Market ,
14911,VA,,,,"SPECIAL Commission on Cancer Accreditation Fees - NWI
Period of Performance: 11-01-2021 to 10-31-2022",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
14916,VA,,,,"UIDL Lab Services IDIQ Task Order - IC
Period of Performance: 03-01-2022 to 02-28-2023
IFCAP PO 636C29082",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q2 ,Indefinite Delivery Indefinite Quantity Sole Source ,
14935,VA,,,,"(Vaccine Mandate)Mod 36C26320C0101 HC Maintenance & Service Agreement Police - MPLS  
(VA-22-00019754) ",,,,Not Set-Aside ,Q1 ,Open Market ,
